0 0.01
1 0.0397
2 0.15407173
3 0.5450726
4 1.2889781
5 0.1715188
6 0.5978191
7 1.3191134
8 0.056273222
9 0.21559286
10 0.7229306
11 1.3238364
12 0.037716985
13 0.14660022
14 0.521926
15 1.2704837
16 0.2395482
17 0.7860428
18 1.2905813
19 0.16552472
20 0.5799036
21 1.3107498
22 0.088804245
23 0.3315584
24 0.9964407
25 1.0070806
26 0.9856885
27 1.0280086
28 0.9416294
29 1.1065198
30 0.7529209
31 1.3110139
32 0.0877831
33 0.3280148
34 0.9892781
35 1.021099
36 0.95646656
37 1.0813814
38 0.81736827
39 1.2652004
40 0.25860548
